Id,COMM_CODE,Community_Name,Funded_services,HACC_services,Health_or_Human_services,Dental_sites,Primary_schools,Distance_Service,Number_of_households,Rank_funded,Rank_HACC,Rank_HH_services,Rank_dental,Rank_school,Rank_distance,Rank_household,DHS_Region,Area,Local_Government_Area,Population_density,Nearest_Health_Service,Residential,Business,Industrial,Rural,Other,Persons_per_household,People_In_non_private_dwellings,Public_rental_dwellings,Unemployed_persons,Persons_above_75_living_alone,Main_cultural_group_1_name,Main_cultural_group_1_percentage,Main_cultural_group_2_name,Main_cultural_group_2_percentage,Main_cultural_group_3_name,Main_cultural_group3_percentage
86,T086,Darnum,0,0,0,0,1,7,129,48,48,29,29,125,106,132,Gippsland,1.5,Baw Baw (S),278.6,West Gippsland Healthcare Group (Warragul),31.80%,0.00%,0.00%,48.50%,19.70%,2.9,0.00%,0.00%,3.00%,0.00%,ANGLO SAXON AND CELTIC,90.20%,GERMAN,6.10%,assets/towns/Darnum.jpg,"Darnum is a small town in West Gippsland, Victoria, Australia, located 110 km east of Melbourne and a short distance to Warragul, in the Shire of Baw Baw. It is nestled between the Great Dividing Range and Strzlecki Ranges. The Moe River meanders through the edge of the township which the historic Darnum Butter Factory overlooks. "
87,T087,Dartmoor,4,0,7,0,1,43,95,290,277,229,228,249,376,82,Barwon-South Western ,2.7,Glenelg (S),82.3,Heywood Rural Health,29.50%,0.00%,0.00%,48.40%,22.20%,2.4,0.00%,5.30%,5.60%,3.60%,ANGLO SAXON AND CELTIC,83.50%,GERMAN,11.30%,assets/towns/Dartmoor.jpg,"Dartmoor is a rural township on the Princes Highway and the Glenelg River between Heywood and the South Australian border, in southwestern Victoria."
88,T088,Daylesford,40,17,20,0,4,1,1296,365,365,299,286,365,32,337,Grampians,20.2,Hepburn (S),164,Daylesford District Hospital,34.30%,0.80%,0.80%,26.60%,37.50%,2.4,1.80%,3.20%,6.90%,4.60%,ANGLO SAXON AND CELTIC,78.80%,ITALIAN,4.90%,assets/towns/Daylesford.jpg,"Daylesford is a spa town located in the foothills of the Great Dividing Range, within the Shire of Hepburn, Victoria, Australia, approximately 108 kilometres north-west of Melbourne. First established in 1852 as a gold-mining town."
89,T089,Derrinallum,0,0,2,0,0,38,106,49,49,150,150,75,360,100,Barwon-South Western ,3,Corangamite (S),81.4,South West Healthcare (Camperdown),17.00%,0.00%,0.00%,79.30%,3.70%,2.3,0.00%,2.90%,0.00%,6.60%,ANGLO SAXON AND CELTIC,90.40%,GERMAN,3.70%,assets/towns/Derrinallum.jpg,"Derrinallum is a town in Victoria, Australia, located on the Hamilton Highway, in the Corangamite Shire. The town is the centre for the surrounding farming community and lies at the foot of Mount Elephant. Mount Elephant is a 380 m-high conical breached scoria cone formed by an extinct volcano."
90,T090,Diggers Rest,0,0,0,0,0,8,607,50,50,30,30,18,109,290,North & West Metropolitan,2.2,Melton (S),848.4,Sunbury Day Hospital,43.70%,0.10%,0.00%,15.90%,40.30%,2.9,0.00%,0.50%,5.20%,0.30%,ANGLO SAXON AND CELTIC,75.30%,ITALIAN,9.30%,assets/towns/Diggers Rest.jpg,"iggers Rest (formerly Diggers' Rest) is a suburb of Melbourne, Victoria, Australia, 33 km (21 mi) north-west from Melbourne's Central Business District. Its local government areas are the Cities of Hume and Melton."
91,T091,Dimboola,1,0,28,1,2,1,633,203,203,327,335,343,71,292,Grampians,5.2,Hindmarsh (S),285.2,Dimboola & District Hospital,37.50%,2.30%,0.20%,31.50%,28.50%,2.4,2.50%,1.40%,3.90%,4.90%,ANGLO SAXON AND CELTIC,76.90%,GERMAN,17.50%,assets/towns/Dimboola.jpg,"Dimboola is a town in the Shire of Hindmarsh in the Wimmera region of western Victoria, Australia, 334 kilometres north-west of Melbourne."
92,T092,Dinner Plain,0,0,0,0,0,43,38,51,51,31,31,19,375,2,Hume,0.7,Alpine (S),149,Omeo District Health,0.00%,0.00%,0.00%,0.00%,100.00%,2.4,3.20%,0.00%,0.00%,0.00%,ANGLO SAXON AND CELTIC,50.00%,NORDIC,33.30%,assets/towns/Dinner Plain.jpg,"Dinner Plain is a town in Victoria, Australia, located on the Great Alpine Road, 13 kilometres from Mount Hotham Alpine Resort, and 375 kilometres from Melbourne."
93,T093,Don Valley,0,0,0,0,1,19,97,52,52,32,32,126,218,85,Eastern Metropolitan,0.7,Yarra Ranges (S),445.3,Healesville and District Hospital,0.00%,0.00%,0.00%,72.30%,27.70%,2.9,0.00%,0.00%,6.10%,1.10%,ANGLO SAXON AND CELTIC,82.40%,GERMAN,6.30%,assets/towns/Don Valley.jpg,"Don Valley is a town in Victoria, Australia, approximately 70 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. Don Valley is a town in Victoria, Australia, approximately 70 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges."
94,T094,Donald,0,0,27,0,2,0,576,53,53,322,301,325,13,284,Loddon Mallee,4.8,Buloke (S),305,East Wimmera Health Service (Donald),28.20%,2.40%,0.90%,34.40%,34.20%,2.5,2.70%,6.40%,4.20%,6.00%,ANGLO SAXON AND CELTIC,91.70%,GERMAN,2.40%,assets/towns/Donald.jpg,"Donald is a town in Victoria, Australia, located on the Richardson River, at the junction of Sunraysia Highway and Borung Highway, in the Shire of Buloke. "
95,T095,Dookie,1,0,2,0,1,28,105,204,204,166,165,199,314,98,Hume,1.7,Greater Shepparton (C),186.3,Goulburn Valley Health (Shepparton),34.90%,0.00%,0.00%,54.20%,10.90%,2.8,0.00%,0.00%,2.80%,4.00%,ANGLO SAXON AND CELTIC,82.10%,GERMAN,11.60%,assets/towns/Dookie.jpg,"Dookie is a town in the Goulburn Valley region of Victoria, Australia. It is situated in a valley between Mount Major and Mount Saddleback. Dookie is a farming community."
96,T096,Drouin,6,0,20,1,2,10,2565,298,282,294,324,337,119,359,Gippsland,16.2,Baw Baw (S),517.3,West Gippsland Healthcare Group (Warragul),73.50%,1.00%,4.20%,10.00%,11.20%,2.7,2.00%,3.70%,4.90%,2.70%,ANGLO SAXON AND CELTIC,83.30%,GERMAN,3.40%,assets/towns/Drouin.jpg,"Drouin is a town in the West Gippsland region, 90 kilometres (56 mi) east of Melbourne, in the Australian state of Victoria. Its local government area is the Shire of Baw Baw. The town is supposedly named after a Frenchman who invented a chlorination process for the extraction of ore or an Aboriginal word meaning ""north wind"". New housing developments have accelerated the town's residential growth in recent years."
97,T097,Drysdale-Clifton Springs,0,0,22,1,2,20,3789,54,54,305,327,339,227,371,Barwon-South Western ,13.5,Greater Geelong (C),866.2,The Geelong Hospital,48.60%,1.60%,0.00%,34.40%,15.40%,2.8,0.30%,0.20%,4.90%,2.30%,ANGLO SAXON AND CELTIC,83.80%,GERMAN,3.90%,assets/towns/Drysdale-Clifton Springs.jpg,"Drysdale is a rural township near Geelong, Victoria, Australia, located on the Bellarine Peninsula. The town has an approximate population of over 3,700. Drysdale forms part of an urban area, along with nearby Clifton Springs."
98,T098,Dunkeld,0,0,1,0,0,30,172,55,55,122,122,66,326,161,Barwon-South Western ,2.5,Southern Grampians (S),174.7,Penshurst & District Memorial Hospital,84.60%,0.00%,0.00%,5.80%,9.60%,2.4,0.00%,5.80%,4.80%,5.80%,ANGLO SAXON AND CELTIC,88.90%,GERMAN,4.80%,assets/towns/Dunkeld.jpg,"Dunkeld is a town in Victoria, Australia, at the southern end of the Grampians National Park, in the Shire of Southern Grampians. It is approx 283 km west of Melbourne on the Glenelg Highway."
99,T099,Dunolly,0,0,12,0,0,1,288,56,56,249,247,94,58,221,Loddon Mallee,3,Central Goldfields (S),203.5,Maryborough District Health Service (Dunolly),52.10%,1.40%,10.30%,8.90%,27.30%,2.1,2.40%,10.00%,15.00%,5.30%,ANGLO SAXON AND CELTIC,87.90%,GERMAN,4.50%,assets/towns/Dunolly.jpg,"Dunolly is a town in Victoria, Australia, located on the Dunolly - Maryborough Road, in the Shire of Central Goldfields. "
100,T100,Eagle Point,0,0,2,0,1,14,169,57,57,151,151,188,160,158,Gippsland,1.3,East Gippsland (S),366.1,Bairnsdale Regional Health Service,70.30%,0.00%,0.00%,20.50%,9.10%,2.3,6.40%,0.00%,3.90%,3.10%,ANGLO SAXON AND CELTIC,87.70%,GERMAN,3.30%,assets/towns/Eagle Point.jpg,"Eagle Point is a small town in Victoria, Australia within the Shire of East Gippsland on the Gippsland lakes, mostly on Lake King. It is known for its bushland and tourism. The top of the red limestone cliff by the Mitchell River offers unparalleled vista of the East Gippsland low country and Mitchell_River_silt_jetties, stretching out for miles. "
101,T101,East Sale,0,0,1,0,0,10,6,58,58,123,123,67,121,1,Gippsland,6.9,Wellington (S),12,Central Gippsland Health Service (Sale),0.00%,0.00%,0.00%,2.40%,97.60%,3.3,75.90%,60.00%,0.00%,0.00%,ANGLO SAXON AND CELTIC,75.00%,SOUTH EAST ASIAN,25.00%,assets/towns/East Sale.jpg,Sale is a city situated in the Gippsland region of the Australian state of Victoria.
102,T102,Echuca,71,21,49,3,4,1,4679,379,370,367,372,371,40,377,Loddon Mallee,39.3,Campaspe (S),348.4,Echuca Regional Health,27.10%,3.00%,6.40%,28.60%,34.90%,2.7,1.80%,8.50%,4.80%,2.70%,ANGLO SAXON AND CELTIC,88.10%,GERMAN,3.30%,assets/towns/Echuca.jpg,"Echuca is a town on the banks of the Murray River and Campaspe River in Victoria, Australia. The border town of Moama is adjacent on the northern side of the Murray River in New South Wales. Echuca is the administrative centre and largest settlement in the Shire of Campaspe."
103,T103,Edenhope,28,12,37,2,1,0,324,353,345,355,361,304,28,236,Grampians,2.1,West Wimmera (S),389.4,Edenhope and District Hospital,89.50%,0.00%,0.00%,1.80%,8.70%,2.4,4.70%,2.80%,6.50%,5.30%,ANGLO SAXON AND CELTIC,87.00%,GERMAN,7.40%,assets/towns/Edenhope.jpg,"Edenhope is a town in Victoria, Australia. It is located on the Wimmera Highway, 30 kilometres from the South Australian border, in the Shire of West Wimmera local government area."
104,T104,Eildon,3,1,14,0,1,23,272,283,317,269,264,271,267,213,Hume,3.3,Murrindindi (S),225.9,Alexandra District Hospital,23.30%,1.10%,3.10%,10.40%,62.10%,2.6,7.00%,2.50%,9.00%,3.40%,ANGLO SAXON AND CELTIC,85.80%,GERMAN,3.90%,assets/towns/Eildon.jpg,"Eildon is a town in Victoria, Australia. It is located near Lake Eildon, on the Goulburn Valley Highway, in the Shire of Murrindindi local government area."
105,T105,Eldorado,0,0,0,0,0,23,112,59,59,33,33,20,262,115,Hume,4.7,Wangaratta (RC),67.5,Northeast Health Wangaratta,23.20%,0.00%,0.00%,44.60%,32.20%,2.6,0.00%,0.00%,8.10%,2.00%,ANGLO SAXON AND CELTIC,71.40%,SOUTH ASIAN,22.90%,assets/towns/Eldorado.jpg,"Eldorado, or El Dorado, is a small town in the north-east of Victoria, Australia. "
106,T106,Elmore,1,0,8,0,2,16,300,205,205,232,230,312,188,227,Loddon Mallee,2.2,Greater Bendigo (C),318.8,Rochester and Elmore District Health Service,53.20%,0.00%,0.00%,30.80%,15.90%,2.4,0.00%,3.70%,9.10%,3.80%,ANGLO SAXON AND CELTIC,83.00%,GERMAN,4.70%,assets/towns/Elmore.jpg,Elmore is a small town in Victoria north-east of Bendigo on the Campaspe River. Elmore is close to the Whipstick State Park.
107,T107,Emerald,0,0,14,0,1,16,2120,60,60,265,260,267,189,353,Southern Metropolitan,21.1,Cardinia (S),315.6,Angliss Hospital,24.70%,0.40%,0.00%,57.90%,17.00%,3,1.00%,0.50%,4.20%,1.00%,ANGLO SAXON AND CELTIC,78.10%,GERMAN,5.30%,assets/towns/Emerald.jpg,"Emerald is a suburb in the Greater Melbourne area of Victoria, Australia, 44 km south-east of Melbourne's Central Business District, located within the Shires of Cardinia and Yarra Ranges local government areas."
108,T108,Enfield,0,0,0,0,0,20,127,61,61,34,34,21,234,130,Grampians,3.3,Golden Plains (S),128.4,Ballarat Hospital,73.60%,0.00%,0.00%,25.20%,1.20%,2.9,0.00%,0.00%,11.00%,0.80%,ANGLO SAXON AND CELTIC,83.00%,DUTCH,3.50%,assets/towns/Enfield.jpg,"Enfield is a rural locality in Victoria, Australia. The locality is in the Golden Plains Shire, near the regional city of Ballarat and 149 kilometres (93 mi) west of the state capital, Melbourne."
109,T109,Euroa,20,16,22,1,2,48,1186,340,362,310,330,340,381,333,Hume,6.1,Strathbogie (S),480.1,Benalla and District Memorial Hospital,45.00%,2.20%,4.50%,19.90%,28.40%,2.4,2.50%,3.60%,3.60%,6.20%,ANGLO SAXON AND CELTIC,88.10%,GERMAN,4.10%,assets/towns/Euroa.jpg,"Euroa is a town in the Shire of Strathbogie in the north-east of Victoria, Australia. The name Euroa comes from an Aboriginal word in the old local dialect meaning 'joyful'."
110,T111,Fish Creek,0,0,0,0,0,13,70,62,62,35,35,22,158,37,Gippsland,1,South Gippsland (S),179.2,South Gippsland Hospital (Foster),33.50%,0.00%,0.00%,42.40%,24.10%,2.5,0.00%,0.00%,4.10%,3.90%,ANGLO SAXON AND CELTIC,82.40%,ITALIAN,4.90%,assets/towns/Fish Creek.jpg,"Fish Creek is a small township in Victoria, Australia. Fish Creek has a number of art galleries and craft shops catering to locals as well as tourists who pass through town on their way to Wilsons Promontory. Artist and children's author Alison Lester and botanical artist Celia Rosser have galleries in the town."
111,T112,Flinders,1,0,2,0,0,21,209,206,206,167,166,78,236,188,Southern Metropolitan,4.1,Mornington Peninsula (S),144.1,Rosebud Hospital,43.00%,0.60%,0.00%,26.70%,29.70%,2.8,0.70%,0.00%,2.50%,1.90%,ANGLO SAXON AND CELTIC,87.80%,GERMAN,3.90%,assets/towns/Flinders.jpg,"Flinders once known as Mendi-Moke, is a town south of Melbourne, Victoria, Australia, located on the Mornington Peninsula at the point where Western Port meets Bass Strait. Its local government area is the Shire of Mornington Peninsula."
112,T113,Forrest,2,0,5,0,1,33,64,254,251,211,210,235,346,26,Barwon-South Western ,0.9,Colac-Otway (S),178.7,Colac Area Health,49.10%,0.00%,0.00%,41.00%,9.90%,2.7,0.00%,0.00%,3.80%,3.40%,ANGLO SAXON AND CELTIC,79.30%,GERMAN,8.60%,assets/towns/Forrest.jpg,"Forrest, Victoria is a small rural township in the Otway Ranges, Victoria, Australia."
113,T114,Foster,10,0,29,1,1,0,459,314,294,331,337,296,8,267,Gippsland,3.4,South Gippsland (S),328.1,South Gippsland Hospital (Foster),39.00%,1.50%,0.00%,20.70%,38.70%,2.3,2.10%,4.80%,5.90%,7.70%,ANGLO SAXON AND CELTIC,84.60%,GERMAN,4.40%,assets/towns/Foster.jpg,"Foster is a dairying and grazing town 174 kilometres (108 mi) south-east of Melbourne on the South Gippsland Highway in Victoria, Australia. It is about 20 kilometres (12 mi) north of the Gippsland coastline which includes Shallow Inlet, Corner Inlet, Waratah Bay, Yanakie and Wilsons Promontory."
114,T115,Garfield,0,0,2,0,1,25,290,63,63,152,152,189,291,222,Southern Metropolitan,2.2,Cardinia (S),475.1,Kooweerup Regional Health Service,49.40%,2.00%,0.00%,36.70%,11.90%,3.1,0.00%,0.00%,4.70%,2.30%,ANGLO SAXON AND CELTIC,83.60%,DUTCH,3.40%,assets/towns/Garfield.jpg,"Garfield is a town in Gippsland, Victoria, Australia, 69 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area."
115,T116,Gembrook,1,0,0,0,1,28,341,207,207,109,109,161,309,242,Southern Metropolitan,8.5,Cardinia (S),141.6,Angliss Hospital,14.80%,0.60%,0.00%,74.10%,10.50%,3.2,0.00%,0.00%,4.80%,0.80%,ANGLO SAXON AND CELTIC,75.40%,ITALIAN,8.30%,assets/towns/Gembrook.jpg,"Gembrook is a town in Victoria, Australia, 54 kilometres (34 mi) south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area."
116,T117,Girgarre,0,0,9,0,0,14,73,64,64,234,232,88,165,43,Loddon Mallee,1.1,Campaspe (S),180.8,Kyabram and District Health Service,26.30%,0.00%,15.20%,38.60%,19.90%,2.7,0.00%,15.50%,5.10%,3.10%,ANGLO SAXON AND CELTIC,85.90%,DUTCH,4.20%,assets/towns/Girgarre.jpg,"Girgarre is a small town in the Goulburn Valley, Victoria, Australia. It is in the Shire of Campaspe local government area. The main industry in Girgarre is dairying, mainly on family owned farms."
117,T118,Gisborne,6,0,36,1,3,16,2083,299,283,350,348,361,195,352,Loddon Mallee,13,Macedon Ranges (S),599.9,Sunbury Day Hospital,69.40%,1.00%,0.10%,15.10%,14.50%,3.2,1.40%,1.30%,2.70%,1.60%,ANGLO SAXON AND CELTIC,82.20%,ITALIAN,4.30%,assets/towns/Gisborne.jpg,"Gisborneis a town in the Macedon Ranges, approximately 54 kilometres (34 mi) north-west of Melbourne, Victoria, Australia. The town was named after Henry Fyshe Gisborne (1815–1841), the first Commissioner for Crown Lands of the Port Phillip District"
118,T119,Glengarry,0,0,2,0,0,17,223,65,65,153,153,76,196,199,Gippsland,1.3,Latrobe (C),581.4,Latrobe Regional Hospital,65.90%,0.00%,0.00%,16.70%,17.40%,3.2,0.00%,0.00%,4.40%,0.40%,ANGLO SAXON AND CELTIC,82.80%,DUTCH,5.80%,assets/towns/Glengarry.jpg,"Glengarry is a town in the Gippsland region of Victoria, Australia. The town is located in the City of Latrobe local government area, 165 kilometres (103 mi) south east of the state capital, Melbourne."
119,T120,Glenlyon,0,0,0,0,0,11,76,66,66,36,36,23,133,47,Grampians,1.7,Hepburn (S),113.2,Daylesford District Hospital,80.90%,0.00%,0.00%,5.80%,13.30%,2.3,0.00%,0.00%,7.50%,3.40%,ANGLO SAXON AND CELTIC,83.30%,GERMAN,5.60%,assets/towns/Glenlyon.jpg,"Glenlyon is a small village in the Shire of Hepburn local government area, Victoria, Australia around 12 km from Daylesford along the Daylesford - Malmsbury Road, and around 101 km from the Melbourne CBD via Kyneton and Malmsbury. It is on the Loddon River."
120,T121,Glenrowan,0,0,0,0,1,17,131,67,67,37,37,127,200,133,Hume,1.3,Wangaratta (RC),295.3,Northeast Health Wangaratta,49.80%,0.00%,0.00%,28.90%,21.30%,2.5,0.00%,0.00%,6.80%,2.70%,ANGLO SAXON AND CELTIC,85.60%,FRANCO-BELGIAN,3.10%,assets/towns/Glenrowan.jpg,"Glenrowan is a small town located in the Wangaratta local government area of Victoria, Australia. It is 236 kilometres north-east of Melbourne and 14 kilometres from Wangaratta and near the Warby Ranges and Mount Glenrowan."
121,T122,Glenthompson,0,0,1,0,0,24,70,68,68,124,124,68,276,38,Barwon-South Western ,2,Southern Grampians (S),72.6,East Grampians Health Service (Willaura),23.90%,0.00%,0.00%,67.20%,8.80%,2.1,0.00%,0.00%,13.00%,8.30%,ANGLO SAXON AND CELTIC,93.80%,FRANCO-BELGIAN,6.30%,assets/towns/Glenthompson.jpg,"Glenthompson is a town in the Australian state of Victoria. It lies on the Glenelg Highway between Hamilton and Ballarat, close to the Grampian mountain range. "
122,T123,Golden Beach - Paradise Beach,0,0,0,0,0,36,149,69,69,38,38,24,356,145,Gippsland,9.9,Wellington (S),34.7,Central Gippsland Health Service (Sale),25.30%,0.20%,0.00%,54.70%,19.80%,2.2,0.00%,0.00%,25.90%,1.50%,ANGLO SAXON AND CELTIC,81.30%,ITALIAN,5.10%,assets/towns/Golden Beach - Paradise Beach.jpg,
123,T124,Goornong,0,0,0,0,1,28,108,70,70,39,39,128,316,103,Loddon Mallee,2.2,Greater Bendigo (C),134.3,The Bendigo Hospital,64.50%,0.00%,0.10%,11.20%,24.20%,2.9,0.00%,0.00%,4.30%,1.90%,ANGLO SAXON AND CELTIC,93.30%,GERMAN,1.80%,assets/towns/Goornong.jpg,"Goornong is a town in north central Victoria, Australia. The town is in the City of Greater Bendigo local government area and on the Midland Highway, 159 kilometres (99 mi) north of the state capital, Melbourne."
124,T125,Gordon,0,0,0,0,1,24,167,71,71,40,40,129,285,156,Grampians,3.8,Moorabool (S),138,Ballarat Hospital,26.80%,0.00%,0.00%,64.60%,8.60%,2.8,0.00%,0.00%,10.00%,1.10%,ANGLO SAXON AND CELTIC,83.10%,GERMAN,5.30%,assets/towns/Gordon.jpg,"Gordon is a small town in Victoria, Australia, named after settler George Gordon. The town is located on the Old Melbourne Road in the Shire of Moorabool local government area, 95 kilometres (59 mi) west of the state capital, Melbourne."
125,T126,Goroke,2,0,30,1,0,47,111,255,252,337,340,111,380,111,Grampians,3.4,West Wimmera (S),67.2,Edenhope and District Hospital,13.40%,0.00%,0.00%,73.00%,13.50%,2.3,0.00%,3.70%,9.60%,3.50%,ANGLO SAXON AND CELTIC,89.70%,GERMAN,3.40%,assets/towns/Goroke.jpg,"Goroke is a town in the Wimmera region of Victoria. The town is located in the Shire of West Wimmera local government area, 370 kilometres (230 mi) north west of the state capital, Melbourne."
126,T127,Grantville,0,0,17,0,0,28,217,72,72,275,269,96,312,197,Gippsland,2.6,Bass Coast (S),192.9,Kooweerup Regional Health Service,37.40%,1.60%,1.80%,8.80%,50.30%,2.2,0.00%,0.00%,14.00%,1.50%,ANGLO SAXON AND CELTIC,80.30%,GERMAN,5.80%,assets/towns/Grantville.jpg,"Grantville is a small town in Victoria, Australia. The town was named after Lieutenant James Grant who surveyed the area in 1801."
127,T128,Great Western,0,0,0,0,1,13,71,73,73,41,41,130,148,40,Grampians,1.7,Northern Grampians (S),116.5,Stawell Regional Health,66.50%,0.00%,0.00%,25.00%,8.50%,2.8,0.00%,0.00%,0.00%,0.00%,ANGLO SAXON AND CELTIC,90.10%,FRANCO-BELGIAN,4.20%,assets/towns/Great Western.jpg,"Great Western is a town in the east of the Wimmera region of Victoria, Australia. The town is located on the Western Highway, in the Shire of Northern Grampians local government area, 225 kilometres north west of the state capital, Melbourne. "
128,T129,Greendale,0,0,0,0,0,20,139,74,74,42,42,25,231,136,Grampians,4.3,Moorabool (S),100.7,Djerriwarrh Health Services (Bacchus Marsh),0.00%,0.00%,0.00%,91.10%,8.90%,3,0.00%,2.20%,5.60%,0.70%,ANGLO SAXON AND CELTIC,77.10%,GERMAN,5.20%,assets/towns/Greendale.jpg,"Greendale is a town in central Victoria, Australia in the Shire of Moorabool local government area, 81 kilometres (50 mi) west north west of the state capital, Melbourne."
129,T130,Guildford,0,0,0,0,1,13,82,75,75,43,43,131,154,57,Loddon Mallee,1.2,Mount Alexander (S),174,Castlemaine Health,83.40%,0.00%,0.00%,4.70%,11.80%,2.6,0.00%,0.00%,3.70%,2.80%,ANGLO SAXON AND CELTIC,93.60%,GERMAN,3.20%,assets/towns/Guildford.jpg,"Guildford is a small settlement situated on the Loddon River, 124 kilometres (77 mi) north-west of Melbourne, in Victoria, Australia. It is located on the Midland Highway between Daylesford and Castlemaine."
130,T131,Gunbower,0,0,3,0,1,23,118,76,76,184,183,215,273,122,Loddon Mallee,1,Campaspe (S),256.6,Cohuna District Hospital,48.00%,0.00%,0.00%,31.70%,20.30%,2.4,0.00%,6.80%,8.80%,3.60%,ANGLO SAXON AND CELTIC,88.40%,AFRO-ARABIC MUSLIM,5.00%,assets/towns/Gunbower.jpg,"Gunbower is a town in northern Victoria, Australia. The town is located in the Shire of Campaspe, 272 kilometres (169 mi) north of the state capital, Melbourne on the banks of Gunbower Creek."
131,T132,Halls Gap,2,1,7,0,1,28,106,256,309,230,229,250,311,99,Grampians,8.2,Northern Grampians (S),36.6,Stawell Regional Health,25.30%,1.00%,0.00%,27.70%,46.00%,2.7,0.00%,0.00%,3.90%,3.40%,ANGLO SAXON AND CELTIC,75.90%,GERMAN,12.60%,assets/towns/Halls Gap.jpg,"Halls Gap is a town in Victoria, Australia. It is located on Grampians Road, adjacent to the Grampians National Park, in the Shire of Northern Grampians local government area. The town is set in the Fyans Valley at the foot of the Wonderland and Mount William ranges. "
132,T133,Hamilton,70,22,55,3,6,0,3689,377,374,374,375,379,11,368,Barwon-South Western ,24.8,Southern Grampians (S),401.2,Hamilton Base Hospital,52.40%,1.50%,9.20%,17.90%,18.90%,2.6,2.80%,5.00%,4.70%,4.10%,ANGLO SAXON AND CELTIC,85.70%,GERMAN,7.60%,assets/towns/Hamilton.jpg,"Hamilton is a large town in south-western Victoria, Australia, at the intersection of the Glenelg Highway and the Henty Highway. The Hamilton Highway connects it to Geelong. Hamilton is in the federal Division of Wannon, and is in the Southern Grampians local government area."
133,T134,Harcourt,0,0,1,0,1,9,153,77,77,125,125,170,117,148,Loddon Mallee,2.9,Mount Alexander (S),171.7,Castlemaine Health,43.50%,0.00%,0.00%,41.10%,15.50%,3,0.00%,0.00%,6.40%,1.80%,ANGLO SAXON AND CELTIC,87.30%,GERMAN,5.30%,assets/towns/Harcourt.jpg,"Harcourt is a small Central Highlands town located approximately 9 km northeast of Castlemaine, where the Midland Highway meets the Calder Highway."
134,T135,Harrietville,0,0,0,0,0,24,116,78,78,44,44,26,277,121,Hume,5.2,Alpine (S),54.1,Alpine Health (Bright),18.90%,0.00%,0.00%,39.40%,41.80%,2.5,0.00%,0.00%,0.00%,1.40%,ANGLO SAXON AND CELTIC,83.30%,GERMAN,12.50%,assets/towns/Harrietville.jpg,"Harrietville is a town in Victoria, Australia, located on the Great Alpine Road, in the Alpine Shire. Harrietville today provides some accommodation for skiers visiting nearby Mount Hotham. The town hosts a bush market in January and on Easter Sunday. Also in January are a European classical music competition, and a lawn mower grand prix."
135,T136,Harrow,1,0,9,0,0,34,44,208,208,236,234,90,349,6,Grampians,2.2,West Wimmera (S),47.7,Edenhope and District Hospital,8.70%,0.00%,0.00%,79.30%,12.00%,2.2,0.00%,0.00%,6.30%,0.00%,ANGLO SAXON AND CELTIC,100.00%,HISPANIC,0.00%,assets/towns/Harrow.jpg,"Harrow is a town in the Wimmera region of western Victoria, Australia. The town is located in the Shire of West Wimmera local government area, 391 kilometres north west of the state capital Melbourne, overlooking the Glenelg River valley."
136,T137,Hazeldene,1,0,0,0,0,31,201,209,209,110,110,62,337,179,Hume,3.8,Murrindindi (S),133.8,Yea and District Memorial Hospital,16.00%,0.10%,0.00%,64.60%,19.30%,2.8,0.00%,0.00%,6.70%,0.70%,ANGLO SAXON AND CELTIC,83.30%,ITALIAN,4.70%,assets/towns/Hazeldene.jpg,"Flowerdale is a town in Victoria, Australia. It is in the Shire of Murrindindi local government area, 95 kilometres (59 mi) from the state capital, Melbourne and in the foothills of the Great Dividing Range, in the upper catchment of the Goulburn River system."
137,T138,Healesville,13,9,36,1,4,2,2707,326,341,351,349,366,84,361,Eastern Metropolitan,24.4,Yarra Ranges (S),320.8,Healesville and District Hospital,16.30%,0.60%,0.70%,70.80%,11.70%,2.8,1.30%,3.60%,6.10%,2.10%,ANGLO SAXON AND CELTIC,80.50%,GERMAN,5.00%,assets/towns/Healesville.jpg,"Healesville is a town in Victoria, Australia, 52 km north-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges."
138,T139,Heathcote,10,0,17,0,2,0,677,315,295,278,271,318,29,296,Loddon Mallee,5.4,Greater Bendigo (C),309.2,McIvor Health and Community Services (Heathcote),57.60%,4.10%,1.00%,5.80%,31.50%,2.3,2.60%,1.00%,8.60%,4.00%,ANGLO SAXON AND CELTIC,84.50%,ITALIAN,3.70%,assets/towns/Heathcote.jpg,"Heathcote About this soundpronunciation is a town in central Victoria, Australia, situated on the Northern Highway 110 kilometres north of Melbourne and 40 kilometres south-east of Bendigo via the McIvor Highway. Heathcote's local government area is the City of Greater Bendigo and it is part of the federal electorate of Bendigo and the state electorate of Euroa."
